date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 8,home,Southern Union State,W,15-3,15,15,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Feb 8,home,Southern Union State,W,1-0,1,1,0,0,0,1,1.0,,,,0.00,,1,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Feb 10,away,Southern Union State,L,9-7,9,9,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Feb 15,home,vs. Chipola,W,1-0,1,1,0,0,0,1,1.0,,,,0.00,,1,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Feb 15,home,vs. San Jacinto,W,6-2,6,6,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Feb 16,home,vs. Chipola,L,2-1,2,2,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Feb 27,away,USC Salkehatchie,W,2-1,2,2,0,0,0,1,1.0,1,0,0,0.00,1,2,0,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Feb 27,away,USC Salkehatchie,W,1-0,1,1,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 1,home,USC Salkehatchie,L,1-0,1,1,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 2,home,USC Salkehatchie,W,6-2,6,6,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 2,home,USC Salkehatchie,L,3-2,3,3,0,0,0,0,2.0,0,0,0,0.00,0,1,0,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 3,home,Lake Michigan,W,6-2,6,6,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 3,home,Lake Michigan,W,3-2,3,3,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 5,away,Georgia Perimeter,L,5-0,5,5,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 8,home,Georgia Perimeter,W,3-2,3,3,0,0,0,1,1.0,,,,0.00,1,2,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 9,home,Georgia Perimeter,W,3-2,3,3,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 9,home,Georgia Perimeter,W,3-2,3,3,0,0,0,1,1.0,2,1,1,9.00,,2,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 12,home,Gordon State,W,8-7,8,8,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 14,away,Gordon State,L,6-5,6,6,0,0,0,0,1.0,,1,1,9.00,,1,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 16,away,Gordon State,L,5-4,5,5,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 16,away,Gordon State,L,4-1,4,4,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 19,away,South Georgia State,W,7-5,7,7,0,0,0,0,3.0,,,,0.00,2,3,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 21,home,South Georgia State,L,1-0,1,1,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 23,home,South Georgia State,L,1-0,1,1,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 23,home,South Georgia State,L,1-0,1,1,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 26,home,East Georgia State,L,1-0,1,1,0,1,0,0,1.0,2,1,1,9.00,1,2,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 28,away,East Georgia State,L,4-0,4,4,0,0,0,0,0.0,,,,0.00,,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 30,away,East Georgia State,L,1-0,1,1,0,0,0,0,1.0,1,,,0.00,1,,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Mar 30,away,East Georgia State,L,1-0,1,1,0,0,0,1,0.0,1,1,,0.00,,1,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
Apr 2,home,West Georgia Tech,L,8-7,8,8,0,0,0,0,2.2,1,,,0.00,,6,,2013,2012-13,div1,Middle Georgia State,middlegeorgiacollege,blakeshousetyvn,Blake Shouse
