date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 3,away,Northwest Florida State,L,3-2,3,3,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 3,home,vs. East Mississippi,L,9-5,9,9,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 4,home,vs. East Mississippi,L,13-12,13,13,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 4,away,Northwest Florida State,L,6-0,6,6,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 11,away,Lurleen B. Wallace,L,4-3,4,4,0,0,1,0,3.2,2,2,,0.00,4,4,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 11,away,Lurleen B. Wallace,L,11-1,11,11,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 18,home,vs. Wallace-Dothan,L,4-3,4,4,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 20,home,Wallace-Dothan,L,2-1,2,2,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 23,away,Huntingdon College,W,12-8,12,12,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 24,home,Faulkner University,W,1-0,1,1,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 24,home,Faulkner University,L,11-7,11,11,0,0,0,0,4.0,5,4,,0.00,2,6,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 28,away,Faulkner University,W,7-4,7,7,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Feb 28,away,Faulkner University,W,3-2,3,3,0,1,0,0,1.1,,,,0.00,,3,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 2,away,Andrew,L,15-5,15,15,0,0,0,0,0.1,,,,0.00,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 9,away,Chattahoochee Valley,L,3-2,3,3,0,0,0,0,0.0,,,,0.00,2,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 9,away,Chattahoochee Valley,L,9-5,9,9,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 11,home,Chattahoochee Valley,L,14-2,14,14,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 11,home,Chattahoochee Valley,L,2-1,2,2,0,0,0,0,1.0,,,,0.00,,1,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 16,away,Coastal Alabama - Monroeville,L,9-5,9,9,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 16,away,Coastal Alabama - Monroeville,L,6-0,6,6,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 18,home,Coastal Alabama - Monroeville,L,11-9,11,11,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 18,home,Coastal Alabama - Monroeville,W,6-2,6,6,0,0,0,0,7.0,5,2,2,2.57,6,5,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
Mar 23,home,Coastal Alabama - Bay Minette,L,5-4,5,5,,,,,,,,,,,,,2017,2016-17,div1,Enterprise State,enterprisestatecommunitycollege,zachmerrittmwm7,Zach Merritt
