date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 28,home,Southeastern-Whiteville,L,4-3,4,3,1,win,20230128_rm9m,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Jan 28,home,Southeastern-Whiteville,W,5-2,5,2,3,win,20230128_x6a5,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Jan 29,home,Southeastern-Whiteville,L,12-11,12,11,1,win,20230129_b37a,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Feb 8,home,Surry,L,5-3,5,3,2,win,20230208_25h3,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Feb 11,home,Spartanburg Methodist,W,4-1,4,1,3,win,20230211_qr64,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Feb 18,home,USC Union,W,11-3,11,3,8,win,20230218_yv06,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Feb 19,home,USC Union,L,5-4,5,4,1,win,20230219_zl64,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Feb 22,home,Catawba Valley,W,6-4,6,4,2,win,20230222_b9fe,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Feb 26,home,Patrick & Henry,L,9-1,9,1,8,win,20230226_5qgd,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Mar 1,home,Caldwell Tech,L,10-7,10,7,3,win,20230301_1qps,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
Mar 5,home,Guilford Tech,W,14-3,14,3,11,win,20230305_zzec,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Cleveland,clevelandcommunitycollege,aidenschenckp4wx,Aiden Schenck
