date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 2,home,Southwest Virginia,W,11-1,11,1,10,win,20240202_am97,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 3,home,Southwest Virginia,W,17-0,17,0,17,win,20240203_jjyy,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 8,home,Snead State,W,9-7,9,7,2,win,20240208_8uhp,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 9,home,Snead State,L,11-8,11,8,3,win,20240209_w3re,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 9,home,Snead State,W,2-1,2,1,1,win,20240209_qvyx,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 15,home,Marion Military,W,6-0,6,0,6,win,20240215_u4xv,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 16,home,Marion Military,W,8-0,8,0,8,win,20240216_n07x,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 20,home,Southwest Mississippi,W,7-6,7,6,1,win,20240220_ltqy,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 20,home,Mississippi Gulf Coast,L,11-10,11,10,1,win,20240220_idjv,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 22,home,Shelton State,W,12-8,12,8,4,win,20240222_0gwr,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 24,home,Shelton State,W,17-8,17,8,9,win,20240224_sgkm,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Feb 27,home,East Central (MS),L,10-8,10,8,2,win,20240227_vg3l,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Mar 6,home,Jones,W,4-1,4,1,3,win,20240306_j23d,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Mar 6,home,Northeast Mississippi,L,3-2,3,2,1,win,20240306_2oe4,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
Mar 9,home,Hinds,L,8-2,8,2,6,win,20240309_orhh,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,East Mississippi,eastmississippicommunitycollege,zacbutler7xc3,Zac Butler
