date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 29,home,John A. Logan,L,10-7,10,7,3.0,win,20200229_tvrd,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Feb 29,home,Triton,W,10-8,10,8,2.0,win,20200229_jwtu,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 1,home,Triton,W,11-8,11,8,3.0,win,20200301_6mml,0,0,0,0,1.1,4,4,4,27.00,1,3,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 1,home,John A. Logan,L,13-3,13,3,10.0,win,20200301_pzwy,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 6,home,Kankakee,L,10-8,10,8,2.0,win,20200306_w1c8,0,0,0,0,1.0,1,1,1,9.00,1,1,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 7,home,Parkland,L,14-4,14,4,10.0,win,20200307_ojb7,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 8,home,John A. Logan,L,19-14,19,14,5.0,win,20200308_apht,0,0,0,0,0.0,,,,0.00,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 9,home,Kankakee,W,6-2,6,2,4.0,win,20200309_rc1l,0,1,0,0,2.0,1,,,0.00,1,2,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 10,home,Dyersburg State,L,4-0,4,0,4.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 10,home,Dyersburg State,W,6-1,6,1,5.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 11,home,Lake Land,L,11-10,11,10,1.0,win,20200311_3nth,0,0,0,0,1.0,,,,0.00,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 21,home,South Suburban,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 21,home,South Suburban,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 22,home,DuPage,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 22,home,DuPage,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 24,home,McHenry County,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 24,home,McHenry County,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 25,home,Southeastern,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 28,home,Kishwaukee,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 28,home,Kishwaukee,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 31,home,Kishwaukee,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Mar 31,home,Kishwaukee,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 1,home,Illinois Central,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 4,home,Highland (IL),,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 4,home,Highland (IL),,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 5,home,Rock Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 5,home,Rock Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 7,home,Highland (IL),,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 7,home,Highland (IL),,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 10,home,Joliet,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 10,home,Joliet,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 11,home,Black Hawk-Moline,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 11,home,Black Hawk-Moline,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 14,home,Black Hawk-Moline,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 14,home,Black Hawk-Moline,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 17,home,Madison,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 17,home,Madison,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 18,home,Sauk Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 18,home,Sauk Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 19,home,Harry S. Truman,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 19,home,Harry S. Truman,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 21,home,Sauk Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 21,home,Sauk Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 22,home,Illinois Central,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 25,home,Illinois Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 25,home,Illinois Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 26,home,Kankakee,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 26,home,Kankakee,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 28,home,Illinois Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 28,home,Illinois Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 29,home,Morton,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 29,home,Morton,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
Apr 30,home,Spoon River,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
May 3,home,Rock Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
May 3,home,Rock Valley,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
May 5,home,Southeastern,,,,,1.0,win,,,,,,,,,,,,,2020,2019-20,div2,Carl Sandburg,carlsandburgcollege,wynntakacsji4d,Wynn Takacs
