date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 3,home,Bethany College JV,W,11-8,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 8,home,Dodge City,W,11-1,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 8,home,Dodge City,W,11-10,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 10,away,Dodge City,W,12-3,12,12,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 10,away,Dodge City,L,6-5,6,6,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 13,home,North Iowa Area,W,11-7,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 15,away,Garden City,W,18-3,18,18,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 15,away,Garden City,W,14-7,14,14,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 17,home,Garden City,L,3-2,3,3,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 17,home,Garden City,W,7-6,7,7,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 22,home,Hutchinson,W,8-5,8,8,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 22,home,Hutchinson,W,13-12,13,13,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 24,away,Hutchinson,L,4-3,4,4,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 24,away,Hutchinson,W,10-3,10,10,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 26,home,McPherson College JV,W,16-2,16,16,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 29,away,Pratt,L,5-3,5,5,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 29,away,Pratt,W,13-6,13,13,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 31,home,Pratt,W,9-3,9,9,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Mar 31,home,Pratt,W,19-11,19,19,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 5,home,Seward County,W,6-2,6,6,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 5,home,Seward County,L,7-4,7,7,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 8,away,Seward County,W,3-1,3,3,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 8,away,Seward County,W,8-4,8,8,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 10,home,Hutchinson,W,14-4,14,14,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 12,home,Colby,W,11-3,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 12,home,Colby,W,8-7,8,8,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 15,away,Colby,W,14-4,14,14,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 15,away,Colby,L,8-6,8,8,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 16,home,Sterling College JV,W,11-1,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 19,home,Cloud County,L,4-1,4,4,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 19,home,Cloud County,W,11-9,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 20,away,Cloud County,W,9-3,9,9,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 20,away,Cloud County,W,13-2,13,13,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 26,away,Butler,L,2-1,2,2,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 26,away,Butler,L,7-5,7,7,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 28,home,Butler,W,9-0,9,9,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
Apr 28,home,Butler,W,6-5,6,6,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 4,home,Allen County,W,7-0,7,7,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 5,home,Allen County,W,9-7,9,9,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 11,home,vs. Johnson County,W,8-0,8,8,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 12,home,vs. Seward County,W,7-5,7,7,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 13,home,vs. Cowley,L,6-5,6,6,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 14,home,vs. Hutchinson,W,8-0,8,8,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 14,home,vs. Cowley,W,16-7,16,16,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 15,home,vs. Cowley,W,9-3,9,9,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 26,home,vs. Jefferson (MO),L,11-2,11,11,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
May 27,home,vs. Chipola,L,10-8,10,10,,,,,,,,,,,,2018,2017-18,div1,Barton,bartoncommunitycollege,bradreif25ku,Brad Reif
