date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 1,away,LSU Eunice,L,20-10,20,20,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 2,away,LSU Eunice,L,15-4,15,15,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 2,away,LSU Eunice,L,14-4,14,14,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 3,away,LSU Eunice,L,2-1,2,2,0,0,0,0,3.0,2,,,0.00,2,2,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 10,away,Jones,L,13-7,13,13,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 10,away,Jones,L,6-2,6,6,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 13,away,Northwest Mississippi,L,13-1,13,13,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 13,away,Northwest Mississippi,W,5-4,5,5,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 20,away,East Mississippi,L,15-5,15,15,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 20,away,East Mississippi,W,14-4,14,14,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 27,away,Itawamba,L,7-4,7,7,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Feb 27,away,Itawamba,L,8-3,8,8,0,0,0,0,0.0,1,1,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 3,home,Dyersburg State,L,9-2,9,9,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 4,home,Dyersburg State,W,10-3,10,10,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 4,home,Dyersburg State,W,13-11,13,13,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 7,home,Northwest Mississippi,L,8-1,8,8,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 7,home,Northwest Mississippi,L,12-2,12,12,1,0,1,0,3.0,5,5,5,15.00,1,2,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 9,home,Walters State,L,16-1,16,16,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 9,home,Walters State,L,9-6,9,9,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 10,home,Walters State,L,13-3,13,13,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 13,home,Itawamba,L,7-3,7,7,1,0,0,0,4.0,6,2,2,4.50,2,0,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 13,home,Itawamba,L,8-7,8,8,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 17,away,Columbia State,L,13-2,13,13,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 17,away,Columbia State,L,15-5,15,15,,,,,,,,,,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
Mar 18,away,Columbia State,L,10-7,10,10,0,0,0,0,1.2,1,1,1,5.40,,,,2018,2017-18,div1,Southwest Tennessee,southwesttennesseecommunitycollege,rjdellh9tf,RJ Dell
