date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 10  #,away,St. Louis,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Sep 26  #,home,St. Louis,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Feb 22,home,vs. St. Louis,L,7-0,7,7,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Feb 22,home,vs. St. Louis,L,9-1,9,9,0,0,1,0,3.0,2,1,1,3.00,2,3,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Feb 23,home,vs. St. Louis,L,7-2,7,7,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Feb 23,home,vs. St. Louis,W,5-2,5,5,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Feb 27,away,Three Rivers,W,17-5,17,17,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Feb 27,away,Three Rivers,W,6-1,6,6,0,1,0,0,2.1,1,,,0.00,1,2,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 3,away,St. Louis,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 3,away,St. Louis,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 5,home,Wabash Valley,L,14-4,14,14,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 7,away,Wabash Valley,L,20-4,20,20,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 7,away,Wabash Valley,L,11-1,11,11,0,0,1,0,4.2,3,5,5,9.64,5,5,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 10,home,St. Louis,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 10,home,St. Louis,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 11,home,North Central Missouri,L,10-2,10,10,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 12,away,John A. Logan,L,7-1,7,7,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 14,home,John A. Logan,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 14,home,John A. Logan,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 15,home,McHenry County,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 15,home,McHenry County,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 19,home,Lincoln Trail,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 21,away,Lincoln Trail,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 21,away,Lincoln Trail,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 26,away,Frontier,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 28,home,Frontier,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 28,home,Frontier,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Mar 31,away,St. Charles,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 2,away,Lake Land,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 4,home,Lake Land,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 4,home,Lake Land,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 7,home,St. Charles,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 14,home,Kaskaskia,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 16,away,Olney Central,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 18,home,Olney Central,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 18,home,Olney Central,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 21,away,Kaskaskia,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 21,away,Kaskaskia,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 22,away,Mineral Area,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 22,away,Mineral Area,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 23,home,Rend Lake,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 25,away,Rend Lake,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 28,away,Lewis & Clark,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 28,away,Lewis & Clark,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
Apr 30,away,Southeastern Illinois,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
May 2,home,Southeastern Illinois,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
May 2,home,Southeastern Illinois,,,,,,,,,,,,,,,,2020,2019-20,div1,Southwestern Illinois,southwesternillinoiscollege,josemorenovc5l,Jose Moreno
