date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 31,home,New Mexico Military,L,15-10,15,15,2,1,0,,,,1,1,1,,,1,,,0,0,,,,,4,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Jan 31,home,New Mexico Military,L,8-2,8,8,2,1,1,1,,,0,,,,,,,,2,1,,,,,2,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 1,home,New Mexico Military,L,10-2,10,10,2,0,0,,,,0,1,1,,,,,,0,0,,,,,3,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 1,home,New Mexico Military,L,6-0,6,6,3,0,1,1,,,0,,2,,,,,,2,1,,,,,3,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 5,home,Frank Phillips,L,8-3,8,8,3,0,0,,,,0,,1,,,,,,0,0,1,,,,3,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 5,home,Frank Phillips,W,6-5,6,6,3,2,1,,,1,2,1,,,,,,,4,1,,,,,4,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 6,home,Frank Phillips,W,6-1,6,6,3,1,2,1,,,2,1,,,,,,,3,1,1,,,,4,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 6,home,Frank Phillips,L,16-1,16,16,2,0,1,,,,0,,1,,,,,,1,0,,,,,2,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 27,away,Trinidad State,L,24-16,24,24,5,2,3,,,1,2,,1,,,,,,6,1,,,,,5,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 27,away,Trinidad State,L,21-2,21,21,2,1,1,,,,0,,,,,1,,,1,0,,,,,3,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Feb 28,home,Trinidad State,W,17-12,17,17,6,3,4,2,,,2,,,,,,,,6,2,,,,,6,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Mar 3,home,Colby,W,14-8,14,14,6,1,2,1,1,,4,,2,,,,,,5,2,,,,,6,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Mar 6,home,Western Nebraska,L,13-6,13,13,4,2,3,1,1,,2,,1,,,,,,6,2,,,,,4,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Mar 6,home,Western Nebraska,L,9-2,9,9,3,0,0,,,,0,1,2,,,,,,0,0,,,,,4,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
Mar 7,home,Western Nebraska,L,7-5,7,7,3,1,1,,,1,3,,,,,,,,4,1,,,,,3,2021,2020-21,div1,Otero,oterojuniorcollege,christiancastanedal2kh,Christian Castaneda
