date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 31,home,vs. Glendale,L,8-0,8,8,3,0,1,,,,0,,1,,,,,,1,0,,1,,,3,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Jan 31,home,vs. Arizona Western,W,3-2,3,3,4,1,3,1,1,,1,,,1,,,,,6,2,,1,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 1,home,vs. Yavapai,L,16-5,16,16,4,1,2,,,,2,,1,,,,,,2,0,,1,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 1,home,vs. Arizona Western,L,8-1,8,8,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 8,away,Phoenix,W,5-1,5,5,4,0,1,,,,0,,1,1,,,,,1,0,,1,1,1.00,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 8,away,Phoenix,L,6-3,6,6,4,0,2,,1,,0,1,1,,,,,,4,1,,1,,,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 9,away,Mesa,L,6-3,6,6,4,1,1,,,,0,,,,,,,,1,0,,1,2,0.50,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 10,away,Mesa,L,5-0,5,5,4,0,0,,,,0,,,,,,,,0,0,,1,3,0.33,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 11,away,Phoenix,L,9-3,9,9,4,0,1,,,,0,1,,1,,,,,1,0,,2,1,2.00,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 14,home,vs. Okanagan College,L,16-14,16,16,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 15,home,vs. Chipola,L,12-1,12,12,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 15,home,vs. Okanagan College,W,6-5,6,6,1,0,1,1,,,0,,,,,,,,2,1,,,,,1,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 16,home,vs. Prairie Baseball Academy,W,16-9,16,16,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 20,home,vs. Salt Lake,W,8-4,8,8,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 20,home,vs. Southern Nevada,L,13-3,13,13,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 21,home,vs. Southern Idaho,L,8-6,8,8,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 22,home,vs. Western Nevada,L,4-3,4,4,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 28,away,Southern Idaho,L,11-5,11,11,4,1,2,1,,,0,,,,,,,,3,1,,1,1,1.00,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Feb 28,away,Southern Idaho,L,6-5,6,6,4,1,2,,,,0,1,,,,,,,2,0,,,,,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 1,away,Southern Idaho,L,6-2,6,6,4,0,3,,,,1,,,,,,,,3,0,,1,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 1,away,Southern Idaho,L,10-3,10,10,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 8,home,Western Nevada,W,6-4,6,6,4,3,3,,1,1,1,,,,,,,,8,2,,,1,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 8,home,Western Nevada,L,5-1,5,5,3,0,0,,,,0,1,,,,,,,0,0,,,2,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 9,home,Western Nevada,W,7-3,7,7,3,1,1,,,1,2,1,,,,,,,4,1,,1,1,1.00,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 9,home,Western Nevada,L,9-1,9,9,2,0,0,,,,0,2,1,,,,,,0,0,,,1,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 14,away,Salt Lake,L,5-2,5,5,3,1,1,1,,,0,,,,,,,,2,1,,2,,,3,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 14,away,Salt Lake,L,7-4,7,7,4,0,0,,,,0,,1,,,1,,,0,0,,,2,,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 15,away,Salt Lake,L,7-4,7,7,3,1,1,,,,0,1,2,,,,,,1,0,,,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 15,away,Salt Lake,L,8-1,8,8,4,0,2,,,,0,,,,1,,,,2,0,,,2,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 20,away,Utah State Eastern,W,9-2,9,9,3,1,2,,,,1,2,,1,,,,,2,0,,1,,,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 21,away,Utah State Eastern,W,6-5,6,6,3,1,2,1,,,1,1,,1,,,,,3,1,,1,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 21,away,Utah State Eastern,W,8-7,8,8,1,1,1,1,,,1,4,,2,,,,,2,1,,,,,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 22,away,Utah State Eastern,W,8-7,8,8,4,1,1,1,,,2,1,,1,,,,,2,1,,1,2,0.50,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 28,away,Southern Nevada,L,3-1,3,3,2,0,1,,,,1,1,,,,,1,,1,0,,,2,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 28,away,Southern Nevada,L,11-0,11,11,2,0,1,,,,0,1,,,,,,,1,0,,,1,,3,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 29,away,Southern Nevada,L,4-0,4,4,3,0,1,,,,0,,1,,,,,,1,0,,,1,,3,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Mar 29,away,Southern Nevada,L,13-0,13,13,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 4,home,Southern Idaho,W,3-2,3,3,1,1,0,,,,0,2,,,,1,,,0,0,,,1,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 4,home,Southern Idaho,L,8-2,8,8,3,0,2,,,,1,,,1,,,1,,2,0,,1,1,1.00,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 5,home,Southern Idaho,L,4-0,4,4,4,0,1,1,,,0,,1,,,,,,2,1,,1,1,1.00,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 5,home,Southern Idaho,W,4-3,4,4,4,1,2,1,,,0,,2,,,,,,3,1,,,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 11,away,Western Nevada,L,7-1,7,7,4,0,0,,,,0,,,,,,,,0,0,,2,2,1.00,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 11,away,Western Nevada,L,6-4,6,6,5,2,2,,1,,0,,2,,,,,,4,1,,,1,,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 12,away,Western Nevada,L,1-0,1,1,3,0,2,,,,0,1,,,,,,,2,0,,1,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 12,away,Western Nevada,L,11-6,11,11,5,1,2,,,,1,,,,,,,,2,0,,1,2,0.50,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 18,home,Salt Lake,L,9-2,9,9,4,0,0,,,,0,,1,,,,,,0,0,,1,2,0.50,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 18,home,Salt Lake,L,12-4,12,12,2,2,1,1,,,0,2,1,,,1,,,2,1,,,,,5,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 19,home,Salt Lake,L,7-4,7,7,3,1,0,,,,0,1,3,2,,,,,0,0,,,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 19,home,Salt Lake,W,6-4,6,6,2,1,1,,,1,1,1,1,1,,1,,,4,1,,,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 24,home,Utah State Eastern,L,5-4,5,5,3,1,2,,2,,0,,,,,,,,6,2,,1,,,3,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 25,home,Utah State Eastern,L,12-10,12,12,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
Apr 26,home,Utah State Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
May 2,home,Southern Nevada,L,5-4,5,5,3,1,1,,1,,1,,,,,,1,,3,1,,1,2,0.50,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
May 2,home,Southern Nevada,L,20-2,20,20,,,,,,,,,,,,,,,,,,,,,,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
May 3,home,Southern Nevada,L,5-4,5,5,4,1,2,,,1,2,,,,,,,,5,1,,2,,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
May 3,home,Southern Nevada,L,7-3,7,7,4,1,2,1,,,0,,,,,,,,3,1,,,2,,4,2014,2013-14,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,jakemorgan38ff,Jake Morgan
