date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 29  #,home,Univ. of North Alabama,,,,,,,,,,,,,,,,,,,9.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Feb 7,home,Columbia State,W,8-6,8,6,2,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Feb 10,home,Itawamba,W,6-3,6,3,3,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Feb 10,home,Itawamba,L,11-4,11,4,7,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Feb 25,home,Northeast Mississippi,L,4-3,4,3,1,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Feb 25,home,Northeast Mississippi,W,6-5,6,5,1,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Mar 4,home,Northwest Mississippi,L,4-3,4,3,1,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Mar 4,home,Northwest Mississippi,L,2-0,2,0,2,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Mar 6,home,Martin Methodist,W,9-6,9,6,3,win,20170306_71k5,3,0,1,,,1,2,,,,1,3.0,win,20170306_71k5,,,,4,1,,,,,3,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
Mar 13,home,Motlow State,L,5-2,5,2,3,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2017,2016-17,div1,Calhoun,calhouncommunitycollege,andrewmartinrxe7,Andrew Martin
