date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 23,home,Raritan Valley,L,11-7,11,7,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Feb 23,home,Raritan Valley,W,5-4,5,4,1.0,win,20200223_l6vn,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 2,home,Sussex County,L,11-0,11,0,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 7,home,Virginia Peninsula Community College,L,10-5,10,5,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 8,home,Virginia Peninsula Community College,L,7-3,7,3,4.0,win,20200308_blb3,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 8,home,Virginia Peninsula Community College,W,6-3,6,3,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 11,home,UConn Avery Point,L,12-8,12,8,4.0,win,20200311_qzfp,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 13,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 13,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 13,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 13,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 14,home,Raritan Valley,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 14,home,Raritan Valley,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 14,home,Raritan Valley,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 14,home,Raritan Valley,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 19,home,Union,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 21,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 21,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 21,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 21,home,Ulster County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 24,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 26,home,Sullivan County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 27,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 28,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 28,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 28,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 28,home,Suffolk County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 29,home,Orange County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 29,home,Orange County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 29,home,Orange County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Mar 29,home,Orange County,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Apr 7,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Apr 10,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Apr 11,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Apr 11,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
Apr 11,home,Bronx,,,,,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2020,2019-20,div3,Monroe College - Bronx,monroecollegebronx,angelcabreragwuj,Angel Cabrera
