date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 22  #,home,Bryan College,,,,,,,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Jan 30  #,home,Lee University,,,,,,,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Feb 12,home,Vincennes,W,7-4,7,4,3,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Feb 12,home,Vincennes,W,4-1,4,1,3,win,20220212_o9p1,2,0,0,,,,0,1,2,,,3.0,win,20220212_o9p1,,,,0,0,,,,,3,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Feb 13,home,Vincennes,W,6-5,6,5,1,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Feb 26,home,Edison State,W,10-0,10,0,10,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Feb 26,home,Edison State,W,8-3,8,3,5,win,20220226_q55u,3,2,1,,,1,2,,,,,5.0,win,20220226_q55u,,,,4,1,,,1,,3,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Mar 2,home,Maryville (Tenn.),W,14-4,14,4,10,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Mar 2,home,Maryville (Tenn.),W,17-7,17,7,10,win,20220302_36jn,2,2,1,,,,1,1,1,,,10.0,win,20220302_36jn,,,,1,0,,,,,3,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
Mar 9,home,BCA,W,12-2,12,2,10,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2022,2021-22,div1,Cleveland State,clevelandstatecommunitycollege,huntergray5omu,Hunter Gray
