date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 27,home,Central Florida,L,6-1,6,1,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Jan 27,home,Central Florida,W,11-7,11,7,4.0,win,20180127_ujki,0,0,0,,,,0,,,,,4.0,win,20180127_ujki,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 3,home,Pasco-Hernando State,W,6-4,6,4,2.0,win,20180203_rjle,0,0,0,,,,0,,,,,2.0,win,20180203_rjle,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 3,home,Pasco-Hernando State,W,4-2,4,2,2.0,win,20180203_wgk6,0,1,0,,,,0,,,,,2.0,win,20180203_wgk6,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 9,home,Seminole State (FL),L,5-4,5,4,1.0,win,20180209_mk2u,0,0,0,,,,0,,,,,1.0,win,20180209_mk2u,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 11,home,ASA Miami,W,5-4,5,4,1.0,win,20180211_uh4x,0,0,0,,,,0,,,,,1.0,win,20180211_uh4x,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 11,home,ASA Miami,W,6-1,6,1,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 14,home,Lake-Sumter State,T,6-6,6,6,0.0,tie,,,,,,,,,,,,,0.0,tie,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 17,home,South Florida State,W,7-6,7,6,1.0,win,20180217_6xs9,0,0,0,,,,0,,,,,1.0,win,20180217_6xs9,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 21,home,Broward,L,12-6,12,6,6.0,win,20180221_3v3p,0,0,0,,,,0,,,,,6.0,win,20180221_3v3p,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 24,home,Broward,L,6-5,6,5,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Feb 28,home,Eastern Florida State,W,9-5,9,5,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 3,home,Eastern Florida State,W,9-0,9,0,9.0,win,,,,,,,,,,,,,9.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 5,home,Kalamazoo Valley,W,16-4,16,4,12.0,win,20180305_4uco,0,0,0,,,,0,,,,,12.0,win,20180305_4uco,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 9,home,Palm Beach State,L,6-0,6,0,6.0,win,20180309_f6ww,0,0,0,,,,0,,,,,6.0,win,20180309_f6ww,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 12,home,Kirkwood,W,6-2,6,2,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 14,home,Miami Dade,L,9-3,9,3,6.0,win,20180314_1p9v,0,0,0,,,,0,,,,,6.0,win,20180314_1p9v,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 17,home,Miami Dade,L,11-8,11,8,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 19,home,Lafleche College,W,11-5,11,5,6.0,win,20180319_8efm,0,0,0,,,,0,,,,,6.0,win,20180319_8efm,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 23,home,ASA Miami,L,12-5,12,5,7.0,win,20180323_5p8k,0,0,0,,,,0,,,,,7.0,win,20180323_5p8k,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 24,home,ASA Miami,W,10-3,10,3,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 24,home,ASA Miami,L,1-0,1,0,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Mar 30,home,Broward,W,8-1,8,1,7.0,win,20180330_3ygl,0,0,0,,,,0,,,,,7.0,win,20180330_3ygl,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Apr 7,home,Eastern Florida State,W,12-0,12,0,12.0,win,,,,,,,,,,,,,12.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Apr 7,home,Eastern Florida State,L,8-0,8,0,8.0,win,20180407_u5z6,0,0,0,,,,0,,,,,8.0,win,20180407_u5z6,,,,0,0,,,,,0,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Apr 11,home,Palm Beach State,L,14-5,14,5,9.0,win,,,,,,,,,,,,,9.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Apr 14,home,Palm Beach State,W,15-4,15,4,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Apr 14,home,Palm Beach State,L,13-3,13,3,10.0,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
Apr 20,home,Miami Dade,W,6-1,6,1,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,travisperryiz9v,Travis Perry
