date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 27,home,Garden City,L,11-2,11,2,9.0,win,20160227_dzed,3,0,0,,,,1,,1,,,9.0,win,20160227_dzed,,,,0,0,,,,,3,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Feb 27,home,Garden City,L,1-0,1,0,1.0,win,20160227_eby6,4,0,1,1,,,0,,1,,,1.0,win,20160227_eby6,,,,2,1,,,,,4,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Feb 28,home,Garden City,W,20-19,20,19,1.0,win,20160228_0hja,4,1,0,,,,0,1,,,,1.0,win,20160228_0hja,,,,0,0,,,,,5,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Feb 28,home,Garden City,L,18-6,18,6,12.0,win,20160228_2pzs,2,1,0,,,,0,1,2,,,12.0,win,20160228_2pzs,,,,0,0,,,,,3,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Mar 24,home,Odessa,W,3-2,3,2,1.0,win,20160324_388l,2,1,1,1,,,0,,,,,1.0,win,20160324_388l,1,,,2,1,,,,,3,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Mar 24,home,Odessa,L,10-7,10,7,3.0,win,20160324_5z4s,4,0,0,,,,0,,2,,,3.0,win,20160324_5z4s,,,,0,0,,,,,4,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Mar 25,home,Odessa,W,13-6,13,6,7.0,win,20160325_ca2s,3,0,0,,,,0,1,2,,,7.0,win,20160325_ca2s,,,,0,0,,,,,4,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Mar 25,home,Odessa,L,16-4,16,4,12.0,win,20160325_vim0,4,1,2,,,,0,,2,,,12.0,win,20160325_vim0,,,,2,0,,,,,4,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Apr 2,home,Howard (TX),L,11-3,11,3,8.0,win,20160402_4ep9,3,0,0,,,,0,,2,,,8.0,win,20160402_4ep9,,,,0,0,,,,,3,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
Apr 2,home,Howard (TX),W,16-8,16,8,8.0,win,20160402_zxr8,3,1,1,1,,,3,2,,,,8.0,win,20160402_zxr8,,,,2,1,,,,,5,2016,2015-16,div1,New Mexico Military,newmexicomilitaryinstitute,chrissuarez0kct,Chris Suarez
