date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 25,home,Mercer County,W,14-0,14,0,14.0,win,20180225_w9si,2,2,1,,,,1,1,,1,,14.0,win,20180225_w9si,,,,1,0,,,,,3,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Feb 25,home,Mercer County,W,7-5,7,5,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Feb 27,home,Monroe College,L,3-1,3,1,2.0,win,20180227_2npv,1,0,0,,,,0,,1,,,2.0,win,20180227_2npv,,,,0,0,,,,,1,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Feb 27,home,Monroe College,W,12-5,12,5,7.0,win,20180227_hyog,3,2,1,1,,,1,1,1,,,7.0,win,20180227_hyog,,,,2,1,,,1,,4,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 6,home,Delaware County,W,22-1,22,1,21.0,win,,,,,,,,,,,,,21.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 7,home,Prince George's,,,,,21.0,win,,,,,,,,,,,,,21.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 8,home,Cecil,,,,,21.0,win,,,,,,,,,,,,,21.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 9,home,Penn State Mont Alto,W,16-7,16,7,9.0,win,,,,,,,,,,,,,9.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 16,home,Penn State-Schuylkill,W,12-2,12,2,10.0,win,20180316_ulr6,2,1,0,,,,0,1,1,1,,10.0,win,20180316_ulr6,1,,,0,0,,1,,,4,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 18,home,Montgomery,W,9-3,9,3,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 18,home,Montgomery,W,14-1,14,1,13.0,win,20180318_5opc,2,1,1,,,,1,,1,,,13.0,win,20180318_5opc,1,,,1,0,,,,,3,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 24,home,Frederick,W,8-1,8,1,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 24,home,Frederick,W,12-0,12,0,12.0,win,20180324_vptz,1,0,0,,,,1,2,,,1,12.0,win,20180324_vptz,,,,0,0,,,1,,3,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 25,home,Erie,W,14-4,14,4,10.0,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 25,home,Erie,W,16-6,16,6,10.0,win,20180325_th61,3,1,1,,,,2,,1,,,10.0,win,20180325_th61,1,,,1,0,,,,,4,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 26,home,Erie,W,10-0,10,0,10.0,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 29,home,CCBC Dundalk,W,14-3,14,3,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 31,home,Garrett,W,13-3,13,3,10.0,win,20180331_wccc,3,0,0,,,,0,1,2,,,10.0,win,20180331_wccc,,,,0,0,,1,,,4,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Mar 31,home,Garrett,W,15-0,15,0,15.0,win,,,,,,,,,,,,,15.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 5,home,Cecil,W,7-6,7,6,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 5,home,Cecil,W,9-2,9,2,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 6,home,Hagerstown,W,18-6,18,6,12.0,win,,,,,,,,,,,,,12.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 6,home,Hagerstown,W,19-2,19,2,17.0,win,20180406_hekz,2,2,1,,,1,3,,,,,17.0,win,20180406_hekz,1,,,4,1,,1,,,3,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 10,home,Camden County,W,14-11,14,11,3.0,win,20180410_fgb2,1,0,0,,,,0,,1,,,3.0,win,20180410_fgb2,,,,0,0,,,,,1,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 11,home,CCBC Essex,W,10-7,10,7,3.0,win,20180411_qju5,1,1,1,,,1,3,,,,,3.0,win,20180411_qju5,,,,4,1,,,,,1,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 12,home,CCBC Catonsville,L,13-7,13,7,6.0,win,20180412_als0,1,0,0,,,,0,1,,,,6.0,win,20180412_als0,,,,0,0,,,1,,2,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 12,home,CCBC Catonsville,W,15-10,15,10,5.0,win,20180412_adfi,0,0,0,,,,0,,,,,5.0,win,20180412_adfi,,,,0,0,,,,,0,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 14,home,Allegany Maryland,W,19-10,19,10,9.0,win,20180414_7rpv,3,1,0,,,,0,2,2,4,,9.0,win,20180414_7rpv,,,,0,0,,,,,5,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
Apr 14,home,Allegany Maryland,W,11-0,11,0,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2018,2017-18,div1,Harford,harfordcommunitycollege,jakewyandtpf3e,Jake Wyandt
