date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 29,home,Wharton County,W,12-7,12,7,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Jan 30,home,Angelina,W,8-3,8,3,5.0,win,20160130_4bhb,3,0,0,,,,0,,2,,,5.0,win,20160130_4bhb,,,,0,0,,,,,3,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Jan 30,home,Angelina,W,9-4,9,4,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Feb 12,home,Midland,W,8-3,8,3,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Feb 13,home,Midland,W,15-2,15,2,13.0,win,,,,,,,,,,,,,13.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Feb 13,home,Midland,W,7-1,7,1,6.0,win,20160213_dewo,4,1,1,,1,,0,,2,,,6.0,win,20160213_dewo,,,,3,1,,,,,4,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Feb 22,home,Tyler,W,4-1,4,1,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 7,home,Blinn,L,10-9,10,9,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 13,home,Temple,W,17-7,17,7,10.0,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 13,home,Temple,W,16-14,16,14,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 19,home,Cisco,W,5-4,5,4,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 19,home,Cisco,W,5-3,5,3,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 25,home,Grayson,W,11-7,11,7,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 25,home,Grayson,L,9-7,9,7,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 31,home,Ranger,W,5-2,5,2,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Mar 31,home,Ranger,W,11-1,11,1,10.0,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Apr 4,home,Navarro,W,12-2,12,2,10.0,win,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
Apr 9,home,Hill,W,10-4,10,4,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2016,2015-16,div1,McLennan,mclennancommunitycollege,bradysullivan1f3d,Brady Sullivan
