date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 5,home,Motlow State,L,4-2,4,2,2.0,win,20160205_k0qz,0,0,0,,,,0,,,1,,2.0,win,20160205_k0qz,,,1,0,0,,,,,1,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 6,home,Volunteer State,W,2-1,2,1,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 6,home,Volunteer State,W,7-4,7,4,3.0,win,20160206_k0w3,1,2,0,,,,0,1,,,,3.0,win,20160206_k0w3,2,,,0,0,,1,,,4,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 7,home,Volunteer State,L,4-2,4,2,2.0,win,20160207_n4v9,3,0,1,,,,0,,,,,2.0,win,20160207_n4v9,,,,1,0,,1,1,1.00,3,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 7,home,Volunteer State,W,5-4,5,4,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 13,home,Wabash Valley,W,3-2,3,2,1.0,win,20160213_nxr2,3,1,1,,,,0,,1,2,,1.0,win,20160213_nxr2,,,,1,0,,,,,3,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 13,home,Wabash Valley,L,7-1,7,1,6.0,win,20160213_gysa,2,1,1,1,,,0,,1,,,6.0,win,20160213_gysa,1,,,2,1,,,,,3,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 14,home,Wabash Valley,L,7-5,7,5,2.0,win,20160214_6ned,4,0,2,,,,1,,1,,,2.0,win,20160214_6ned,,,,2,0,,,,,4,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 14,home,Wabash Valley,L,6-0,6,0,6.0,win,20160214_cbtn,3,0,1,,,,0,,1,2,,6.0,win,20160214_cbtn,,,,1,0,,,,,3,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Feb 20,home,Baton Rouge,W,9-5,9,5,4.0,win,20160220_rmo8,4,1,2,,,,1,,1,,,4.0,win,20160220_rmo8,,,,2,0,,,,,4,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Mar 2,home,Columbia State,L,7-5,7,5,2.0,win,20160302_9uca,2,0,0,,,,0,1,,,,2.0,win,20160302_9uca,,,,0,0,,,,,3,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Mar 2,home,Columbia State,W,6-2,6,2,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
Mar 9,home,Northeast Mississippi,L,7-2,7,2,5.0,win,20160309_wh4h,1,0,0,0,0,0,0,0,0,0,0,5.0,win,20160309_wh4h,0,0,0,0,0,0,0,0,,1,2016,2015-16,div1,Wallace State,wallacestatecommunitycollegehancevil,gerriorahming8h1s,Gerrio Rahming
