date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 31,home,Dallas College - Eastfield,L,4-2,4,2,2.0,win,20140131_5mo6,3,0,0,,,,0,,,,,2.0,win,20140131_5mo6,,,,0,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Jan 31,home,Dallas College - Eastfield,L,4-2,4,2,2.0,win,20140131_5mo6,3,0,0,,,,0,,,,,2.0,win,20140131_ljgj,,,,1,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Jan 31,home,Dallas College - Eastfield,L,4-2,4,2,2.0,win,20140131_ljgj,3,0,1,,,,0,,,1,,2.0,win,20140131_5mo6,,,,0,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Jan 31,home,Dallas College - Eastfield,L,4-2,4,2,2.0,win,20140131_ljgj,3,0,1,,,,0,,,1,,2.0,win,20140131_ljgj,,,,1,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Feb 8,home,North Central Texas,L,9-0,9,0,9.0,win,20140208_3j0o,2,0,0,,,,0,1,,,,9.0,win,20140208_3j0o,,,,0,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Feb 9,home,North Central Texas,W,4-2,4,2,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Feb 9,home,North Central Texas,L,14-4,14,4,10.0,win,20140209_dg9h,2,1,0,,,,0,1,1,,,10.0,win,20140209_dg9h,,,,0,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Feb 15,home,Hill,L,6-1,6,1,5.0,win,20140215_ua6n,3,0,0,,,,0,,,,,5.0,win,20140215_ua6n,,,,0,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Feb 15,home,Hill,L,5-4,5,4,1.0,win,20140215_1i64,4,0,0,,,,0,,1,,,1.0,win,20140215_1i64,,,,0,0,,,,,4,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Mar 2,home,Wabash Valley,L,9-4,9,4,5.0,win,20140302_1kpn,3,0,0,,,,0,,,,,5.0,win,20140302_1kpn,,,,0,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Mar 24,home,Tyler,L,6-3,6,3,3.0,win,20140324_ctew,4,0,1,,,,0,,,,,3.0,win,20140324_ctew,,,1,1,0,,,,,5,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 4,home,Angelina,L,5-2,5,2,3.0,win,20140404_m69z,4,0,1,,,,1,,,,,3.0,win,20140404_m69z,,,,1,0,,,,,4,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 5,home,Angelina,L,2-0,2,0,2.0,win,20140405_9d0w,3,0,0,,,,0,,3,,,2.0,win,20140405_9d0w,,,,0,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 11,home,Northeast Texas,W,10-1,10,1,9.0,win,20140411_fjol,2,0,1,,,,1,,1,1,,9.0,win,20140411_fjol,1,1,1,1,0,,,,,5,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 12,home,Northeast Texas,L,2-0,2,0,2.0,win,20140412_y4lw,2,0,1,,,,0,,,,,2.0,win,20140412_y4lw,,,,1,0,,,,,2,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 12,home,Northeast Texas,L,11-7,11,7,4.0,win,20140412_84f6,4,0,0,,,,0,,2,,,4.0,win,20140412_84f6,,,,0,0,,,,,4,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 17,home,Navarro,L,3-0,3,0,3.0,win,20140417_mpun,3,0,1,,,,0,,,,,3.0,win,20140417_mpun,,,,1,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 18,home,Navarro,L,8-4,8,4,4.0,win,20140418_axrb,3,0,2,,,,1,,,,,4.0,win,20140418_axrb,,,,2,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 18,home,Navarro,L,6-0,6,0,6.0,win,20140418_esn6,4,0,2,,,,0,,1,1,,6.0,win,20140418_esn6,,,,2,0,,,,,4,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 24,home,Paris,L,11-2,11,2,9.0,win,20140424_kcvx,4,0,1,,,,1,1,1,,,9.0,win,20140424_kcvx,,,,1,0,,,,,5,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 26,home,Paris,L,9-4,9,4,5.0,win,20140426_2swe,3,0,1,,,,0,,2,,,5.0,win,20140426_2swe,,,,1,0,,,,,3,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
Apr 26,home,Paris,L,13-7,13,7,6.0,win,20140426_4nvl,3,3,1,,,,0,2,1,1,,6.0,win,20140426_4nvl,,,,1,0,,,,,5,2014,2013-14,div1,Bossier Parish,bossierparishcommunitycollege,hadenhernandezsm5u,Haden Hernandez
